Name,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global"
"Davidoff - Cool Water",ბრენდი,Davidoff,1,1,მოცულობა,100ML,1,1
"Armani - Acqua di Gio",ბრენდი,Armani,1,1,მოცულობა,100ML,1,1
"Paco Rabanne - 1 Million",ბრენდი,"Paco Rabanne",1,1,მოცულობა,100ML,1,1
"Yves Saint Laurent - Libre",ბრენდი,"Yves Saint Laurent",1,1,მოცულობა,100ML,1,1
"Armani - My Way Intense",ბრენდი,Armani,1,1,მოცულობა,100ML,1,1
"Maison Francis Kurkdjian - Baccarat Rouge 540 Extrait De Parfum",ბრენდი,"Maison Francis Kurkdjian",1,1,მოცულობა,75ML,1,1
"Armani - Si Passione",ბრენდი,Armani,1,1,მოცულობა,100ML,1,1
"Burberry - My Burberry",ბრენდი,Burberry,1,1,მოცულობა,90ML,1,1
"Paco Rabanne - Fame",ბრენდი,"Paco Rabanne",1,1,მოცულობა,90ML,1,1
"Carolina Herrera - Very Good Girl",ბრენდი,"Carolina Herrera",1,1,მოცულობა,80ML,1,1
"Moschino - Toy 2 Bubble Gum",ბრენდი,Moschino,1,1,მოცულობა,100ML,1,1
"Jean Paul Gaultier - Le Male Le Parfum",ბრენდი,"Jean Paul Gaultier",1,1,მოცულობა,120ML,1,1
"Zadig & Voltaire - This is Him",ბრენდი,"Zadig & Voltaire",1,1,მოცულობა,100ML,1,1
"Zadig & Voltaire - This is Her",ბრენდი,"Zadig & Voltaire",1,1,მოცულობა,100ML,1,1
"Zadig & Voltaire - This is Her! Undressed",ბრენდი,"Zadig & Voltaire",1,1,მოცულობა,100ML,1,1
"Zadig & Voltaire - This is Him! Vibes of Freedom",ბრენდი,"Zadig & Voltaire",1,1,მოცულობა,100ML,1,1
"Zadig & Voltaire - This is Us!",ბრენდი,"Zadig & Voltaire",1,1,მოცულობა,100ML,1,1
"Prada - Paradoxe Intense",ბრენდი,Prada,1,1,მოცულობა,90ML,1,1
"Yves Saint Laurent - La Nuit de l'Homme",ბრენდი,"Yves Saint Laurent",1,1,მოცულობა,100ML,1,1
"Givenchy - L'Interdit Eau de Parfum Rouge",ბრენდი,Givenchy,1,1,მოცულობა,100ML,1,1
"Roja - Danger Pour Homme",ბრენდი,Roja,1,1,მოცულობა,50ML,1,1
"Roja - Ahlam",ბრენდი,Roja,1,1,მოცულობა,50ML,1,1
"Amouage - Honor Man",ბრენდი,Amouage,1,1,მოცულობა,100ML,1,1
"Amouage - Interlude Woman",ბრენდი,Amouage,1,1,მოცულობა,100ML,1,1
"Molecule - 04",მოცულობა,100ML,1,1,ბრენდი,Molecule,1,1
"Molecule - 05",ბრენდი,Molecule,1,1,მოცულობა,100ML,1,1
"Montblanc - Legend",ბრენდი,Montblanc,1,1,მოცულობა,100ML,1,1
"Montblanc - Legend Red",ბრენდი,Montblanc,1,1,მოცულობა,100ML,1,1
"Boss - Just Different",ბრენდი,Boss,1,1,მოცულობა,100ML,1,1
"Bvlgari - Man In Black",ბრენდი,Bvlgari,1,1,მოცულობა,100ML,1,1
"Bvlgari - Wood Essence",ბრენდი,Bvlgari,1,1,მოცულობა,100ML,1,1
"Bvlgari - BLV Pour Homme",ბრენდი,Bvlgari,1,1,მოცულობა,100ML,1,1
"Carolina Herrera - 212 VIP Black",ბრენდი,"Carolina Herrera",1,1,მოცულობა,100ML,1,1
"Paco Rabanne - 1 Million Parfum",ბრენდი,"Paco Rabanne",1,1,მოცულობა,100ML,1,1
"Paco Rabanne - Pure XS",ბრენდი,"Paco Rabanne",1,1,მოცულობა,100ML,1,1
"Paco Rabanne - Pure XS For Her",ბრენდი,"Paco Rabanne",1,1,მოცულობა,100ML,1,1
"Burberry - Hero",ბრენდი,Burberry,1,1,მოცულობა,100ML,1,1
"Dolce&Gabbana - Light Blue",ბრენდი,"Dolce & Gabanna",1,1,მოცულობა,100ML,1,1
"Dolce&Gabbana - The Only One 2",ბრენდი,"Dolce & Gabanna",1,1,მოცულობა,100ML,1,1
"Dolce&Gabbana - The Only One",ბრენდი,"Dolce & Gabanna",1,1,მოცულობა,100ML,1,1
"Paco Rabanne - Invictus",ბრენდი,"Paco Rabanne",1,1,მოცულობა,100ML,1,1
"Versace - Eros Flame",ბრენდი,Versace,1,1,მოცულობა,100ML,1,1
"Armani - Code",ბრენდი,Armani,1,1,მოცულობა,100ML,1,1
